"Kerncijfers wijken en buurten 2020"
""
"";"";"Wijken en buurten"
"Onderwerp";"";"Nederland";"Aa en Hunze";"Wijk 00 Annen";"Annen";"Aalsmeer";"Wijk 00 Aalsmeer";"Centrum"
"Regioaanduiding|Gemeentenaam";"naam";"Nederland";"AaenHunze";"AaenHunze";"AaenHunze";"Aalsmeer";"Aalsmeer";"Aalsmeer"
"Regioaanduiding|Soort regio";"omschrijving";"Land";"Gemeente";"Wijk";"Buurt";"Gemeente";"Wijk";"Buurt"
"Regioaanduiding|Codering";"code";"NL00";"GM1680";"WK168000";"BU16800000";"GM0358";"WK035800";"BU03580000"
"Regioaanduiding|Indelingswijziging wijken en buurten";"code";".";".";"1";"1";".";"1";"1"
"Bevolking|Aantal inwoners";"aantal";"17407585";"25445";"3610";"3455";"31859";"12725";"2785"
"Bevolking|Geslacht|Mannen";"aantal";"8648031";"12708";"1760";"1680";"15815";"6200";"1340"
"Bevolking|Geslacht|Vrouwen";"aantal";"8759554";"12737";"1850";"1775";"16044";"6520";"1450"
"Bevolking|Leeftijdsgroepen|0 tot 15 jaar";"aantal";"2726099";"3460";"560";"545";"5577";"1800";"365"
"Bevolking|Leeftijdsgroepen|15 tot 25 jaar";"aantal";"2143743";"2624";"345";"335";"3752";"1435";"260"
"Bevolking|Leeftijdsgroepen|25 tot 45 jaar";"aantal";"4308904";"4375";"630";"610";"7073";"2735";"685"
"Bevolking|Leeftijdsgroepen|45 tot 65 jaar";"aantal";"4836284";"8249";"1145";"1090";"9545";"3630";"695"
"Bevolking|Leeftijdsgroepen|65 jaar of ouder";"aantal";"3392555";"6737";"925";"875";"5912";"3110";"780"
"Bevolking|Burgerlijke staat|Ongehuwd";"aantal";"8474556";"10174";"1475";"1425";"15176";"5785";"1235"
"Bevolking|Burgerlijke staat|Gehuwd";"aantal";"6713002";"11778";"1650";"1555";"13065";"5080";"1050"
"Bevolking|Burgerlijke staat|Gescheiden";"aantal";"1361007";"1867";"250";"245";"2103";"960";"190"
"Bevolking|Burgerlijke staat|Verweduwd";"aantal";"859020";"1626";"240";"230";"1515";"895";"310"
"Bevolking|Personen met een migratieachtergrond|Westers totaal";"aantal";"1828645";"1071";"125";"125";"3596";"1530";"365"
"Bevolking|Personen met een migratieachtergrond|Niet-westers|Niet-westers totaal";"aantal";"2392060";"640";"70";"70";"2908";"1070";"170"
"Bevolking|Personen met een migratieachtergrond|Niet-westers|Marokko";"aantal";"408864";"9";"0";"0";"455";"170";"10"
